台番号,累計スタート,BB回数,RB回数,ART回数,最大差玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート,date
1282,1538,2,0,0,0,769,0,0,769,5,20230205
1283,6706,82,9,0,2666,81.8,745.1,0,73.7,32,20230205
1285,4261,55,5,0,1015,77.5,852.2,0,71,0,20230205
1286,2240,37,2,0,1595,60.5,1120,0,57.4,0,20230205
1287,4745,52,4,0,1159,91.3,1186.3,0,84.7,0,20230205
1288,1922,40,2,0,1983,48.1,961,0,45.8,0,20230205
1282,1817,37,3,0,1989,0,0,0,45.4,1,20230206
1283,2,0,0,0,0,0,0,0,0,4,20230206
1285,3,0,0,0,0,0,0,0,0,33,20230206
1286,2,0,0,0,0,0,0,0,0,1,20230206
1287,3,0,0,0,0,0,0,0,0,5,20230206
1288,2,0,0,0,0,0,0,0,0,47,20230206
1282,0,0,0,0,0,0,0,0,0,3,20230207
1283,0,0,0,0,0,0,0,0,0,2,20230207
1285,0,0,0,0,0,0,0,0,0,3,20230207
1286,27,0,0,0,0,0,0,0,0,2,20230207
1287,0,0,0,0,0,0,0,0,0,3,20230207
1288,0,0,0,0,0,0,0,0,0,2,20230207
1282,0,0,0,0,0,0,0,0,0,0,20230208
1283,1212,14,1,0,574,86.6,1212,0,80.8,0,20230208
1285,0,0,0,0,0,0,0,0,0,0,20230208
1286,0,0,0,0,0,0,0,0,0,27,20230208
1287,0,0,0,0,0,0,0,0,0,0,20230208
1288,748,1,0,0,0,748,0,0,748,0,20230208
1282,0,0,0,0,0,0,0,0,0,0,20230209
1283,0,0,0,0,0,0,0,0,0,2,20230209
1285,0,0,0,0,0,0,0,0,0,0,20230209
1286,0,0,0,0,0,0,0,0,0,0,20230209
1287,0,0,0,0,0,0,0,0,0,0,20230209
1288,2866,40,2,0,957,71.7,1433,0,68.2,2,20230209
1282,34,0,0,0,0,0,0,0,0,0,20230210
1283,0,0,0,0,0,0,0,0,0,0,20230210
1285,804,24,1,0,1693,33.5,804,0,32.2,0,20230210
1286,0,0,0,0,0,0,0,0,0,0,20230210
1287,33,0,0,0,0,0,0,0,0,0,20230210
1288,780,1,0,0,22,780,0,0,780,4,20230210
1282,33,0,0,0,0,0,0,0,0,34,20230211
1283,1574,14,1,0,112,112.4,1574,0,104.9,0,20230211
1285,1048,15,1,0,223,69.9,1048,0,65.5,33,20230211
1286,1572,26,2,0,753,60.5,786,0,56.1,0,20230211
1287,837,11,1,0,121,76.1,837,0,69.8,33,20230211
1288,2484,17,1,0,798,146.1,2484,0,138,17,20230211
1282,0,0,0,0,0,0,0,0,0,33,20230212
1283,0,0,0,0,0,0,0,0,0,34,20230212
1285,0,0,0,0,0,0,0,0,0,34,20230212
1286,0,0,0,0,0,0,0,0,0,33,20230212
1287,0,0,0,0,0,0,0,0,0,67,20230212
1288,560,12,1,0,426,46.7,560,0,43.1,10,20230212
1282,0,0,0,0,0,0,0,0,0,0,20230213
1283,2314,23,2,0,167,100.6,1157,0,92.6,0,20230213
1285,0,0,0,0,0,0,0,0,0,0,20230213
1286,0,0,0,0,0,0,0,0,0,0,20230213
1287,0,0,0,0,0,0,0,0,0,0,20230213
1288,0,0,0,0,0,0,0,0,0,3,20230213
1282,32,0,0,0,5,0,0,0,0,0,20230214
1283,913,6,1,0,0,152.2,913,0,130.4,4,20230214
1285,1965,28,2,0,880,70.2,982.5,0,65.5,0,20230214
1286,32,0,0,0,0,0,0,0,0,0,20230214
1287,32,0,0,0,0,0,0,0,0,0,20230214
1288,32,0,0,0,0,0,0,0,0,0,20230214
