台番号,累計スタート,BB回数,RB回数,ART回数,最大差玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート,date
3608,2292,63,13,0,2205,36.4,176.3,0,30.2,144,20230206
3608,2115,39,10,0,400,54.2,211.5,0,43.2,0,20230207
3608,1992,34,12,0,117,58.6,166,0,43.3,14,20230208
3608,1861,15,5,0,0,116.3,372.2,0,88.6,25,20230209
3608,1964,21,6,0,0,93.5,327.3,0,72.7,25,20230210
3608,2774,26,8,0,0,106.7,346.8,0,81.6,1,20230211
3608,3004,29,10,0,0,103.6,300.4,0,77,0,20230212
